cut_id,case_id,scenario_id,hour,cut_type,lhs,sense,rhs_constant,eta_variable,subproblem_objective_phi,xbar_dot_beta,term_count,status,algebra
BC-002-0001,case_b_ac_uc_benders,21,24,optimality_proxy,eta_ac_s21_t24,>=,-0.024998811863945397,eta_ac_s21_t24,6.439194429281643e-10,0.02499881250786484,27,generated_not_added_to_master,eta_ac_s21_t24 >= -0.0249988118639 + sum(beta_i * x_i)
BC-002-0002,case_b_ac_uc_benders,33,17,optimality_proxy,eta_ac_s33_t17,>=,-0.024999906538186678,eta_ac_s33_t17,6.439983984510009e-10,0.024999907182185078,27,generated_not_added_to_master,eta_ac_s33_t17 >= -0.0249999065382 + sum(beta_i * x_i)
BC-002-0003,case_b_ac_uc_benders,18,17,optimality_proxy,eta_ac_s18_t17,>=,-0.024999535363168818,eta_ac_s18_t17,6.43954213968465e-10,0.02499953600712303,27,generated_not_added_to_master,eta_ac_s18_t17 >= -0.0249995353632 + sum(beta_i * x_i)
