cut_id,case_id,scenario_id,hour,cut_type,scenario_probability,eta_objective_weight,lhs,sense,rhs_constant,eta_variable,subproblem_objective_phi,xbar_dot_beta,term_count,status,algebra
BC-002-0001,case_b_ac_uc_benders,26,20,optimality_cut,0.01,0.01,eta_ac_s26_t20,>=,-0.02622019557641177,,6.486615379850545e-10,0.02622019622507331,28,generated_not_added_to_master,eta_ac_s26_t20 >= -0.0262201955764 + sum(beta_i * x_i)
BC-002-0002,case_b_ac_uc_benders,5,20,optimality_cut,0.02,0.02,eta_ac_s5_t20,>=,-0.026218718467668555,,6.489412387436524e-10,0.026218719116609793,28,generated_not_added_to_master,eta_ac_s5_t20 >= -0.0262187184677 + sum(beta_i * x_i)
BC-002-0003,case_b_ac_uc_benders,10,20,optimality_cut,0.04,0.04,eta_ac_s10_t20,>=,-0.02621706271930448,,6.487648092112995e-10,0.02621706336806929,28,generated_not_added_to_master,eta_ac_s10_t20 >= -0.0262170627193 + sum(beta_i * x_i)
